Epoch,Joint,Rec,KLD
301,261.356,0.307,0.828
302,260.558,0.306,0.817
303,263.617,0.310,0.819
304,258.898,0.305,0.818
305,259.518,0.305,0.818
306,259.919,0.306,0.814
307,260.046,0.307,0.795
308,258.494,0.305,0.812
309,259.384,0.306,0.806
310,259.936,0.307,0.809
311,258.425,0.305,0.806
312,258.978,0.306,0.805
313,258.713,0.306,0.803
314,258.770,0.306,0.788
315,259.145,0.307,0.804
316,257.224,0.305,0.785
317,258.455,0.306,0.792
318,259.684,0.308,0.790
319,257.011,0.305,0.786
320,256.697,0.305,0.788
321,259.263,0.308,0.779
322,257.886,0.306,0.788
323,255.915,0.304,0.785
324,256.153,0.305,0.782
325,255.774,0.304,0.784
326,257.701,0.307,0.772
327,255.540,0.305,0.765
328,253.805,0.302,0.768
329,255.861,0.305,0.772
330,255.917,0.305,0.764
331,255.558,0.305,0.770
332,255.997,0.306,0.768
333,254.746,0.304,0.767
334,254.515,0.304,0.766
335,255.134,0.305,0.764
336,254.298,0.305,0.752
337,253.294,0.303,0.757
338,255.687,0.307,0.752
339,253.285,0.304,0.749
340,253.343,0.304,0.743
341,253.835,0.305,0.745
342,251.587,0.302,0.748
343,254.041,0.305,0.737
344,252.674,0.304,0.746
345,253.955,0.305,0.751
346,251.521,0.303,0.738
347,252.459,0.304,0.739
348,252.919,0.305,0.735
349,251.758,0.304,0.729
350,252.881,0.305,0.730
351,252.391,0.305,0.729
352,250.919,0.303,0.724
353,249.710,0.302,0.727
354,250.253,0.303,0.724
355,249.954,0.302,0.721
356,250.242,0.303,0.721
357,250.301,0.303,0.710
358,250.152,0.303,0.713
359,249.461,0.303,0.715
360,251.766,0.306,0.718
361,248.735,0.302,0.713
362,250.809,0.305,0.714
363,249.468,0.303,0.706
364,248.548,0.302,0.709
365,247.694,0.301,0.705
366,247.848,0.302,0.706
367,249.673,0.304,0.697
368,248.884,0.304,0.692
369,248.260,0.303,0.705
370,249.394,0.305,0.692
371,247.380,0.302,0.699
372,246.886,0.302,0.695
373,246.151,0.301,0.701
374,247.263,0.302,0.689
375,246.768,0.302,0.685
376,245.876,0.301,0.688
377,245.153,0.300,0.682
378,245.634,0.301,0.687
379,245.673,0.301,0.680
380,246.620,0.303,0.678
381,246.404,0.303,0.677
382,244.779,0.301,0.680
383,245.184,0.301,0.677
384,245.861,0.303,0.672
385,244.007,0.300,0.668
386,246.013,0.303,0.669
387,245.444,0.303,0.667
388,245.563,0.303,0.670
389,243.125,0.300,0.663
390,243.616,0.301,0.665
391,243.830,0.301,0.668
392,243.413,0.301,0.660
393,243.617,0.301,0.653
394,245.118,0.303,0.659
395,244.062,0.302,0.668
396,242.209,0.300,0.656
397,243.383,0.302,0.658
398,242.010,0.300,0.655
399,242.640,0.301,0.657
400,243.671,0.303,0.651
401,240.939,0.299,0.651
402,244.390,0.304,0.652
403,243.077,0.303,0.639
404,241.563,0.301,0.648
405,242.651,0.302,0.644
406,240.769,0.300,0.650
407,241.312,0.301,0.646
408,241.421,0.301,0.633
409,240.557,0.300,0.641
410,240.884,0.301,0.630
411,239.796,0.300,0.633
412,239.746,0.300,0.625
413,239.756,0.300,0.633
414,239.720,0.300,0.628
415,239.046,0.300,0.626
416,240.337,0.301,0.624
417,238.789,0.299,0.637
418,238.351,0.299,0.630
419,237.702,0.298,0.627
420,239.378,0.301,0.612
421,240.157,0.302,0.623
422,239.512,0.301,0.619
423,240.264,0.303,0.614
424,238.101,0.300,0.622
425,236.991,0.298,0.631
426,237.262,0.299,0.624
427,237.831,0.300,0.612
428,236.610,0.299,0.614
429,236.950,0.299,0.613
430,237.854,0.301,0.608
431,237.421,0.300,0.608
432,236.072,0.299,0.608
433,240.816,0.305,0.603
434,236.712,0.300,0.610
435,236.991,0.300,0.604
436,235.546,0.299,0.602
437,235.006,0.298,0.608
438,235.124,0.299,0.597
439,235.623,0.300,0.595
440,236.307,0.301,0.591
441,234.468,0.298,0.597
442,235.547,0.300,0.595
443,235.018,0.299,0.591
444,234.861,0.299,0.595
445,234.832,0.299,0.595
446,235.055,0.300,0.593
447,234.422,0.299,0.588
448,237.064,0.303,0.581
449,233.415,0.298,0.585
450,232.861,0.298,0.584
451,234.941,0.301,0.581
452,232.871,0.298,0.584
453,233.424,0.299,0.583
454,233.496,0.299,0.589
455,232.554,0.298,0.577
456,234.200,0.301,0.572
457,233.180,0.300,0.580
458,231.664,0.298,0.582
459,231.015,0.297,0.573
460,231.651,0.298,0.568
461,231.068,0.298,0.573
462,231.975,0.299,0.570
463,230.966,0.298,0.570
464,230.911,0.298,0.568
465,229.793,0.297,0.572
466,231.535,0.299,0.569
467,229.140,0.296,0.566
468,231.010,0.299,0.561
469,228.481,0.296,0.565
470,230.041,0.298,0.562
471,229.854,0.298,0.562
472,230.616,0.299,0.560
473,230.205,0.299,0.565
474,229.884,0.298,0.559
475,229.608,0.298,0.555
476,228.861,0.297,0.555
477,228.401,0.297,0.552
478,233.394,0.304,0.550
479,228.094,0.297,0.551
480,228.355,0.298,0.552
481,230.654,0.301,0.551
482,227.186,0.296,0.553
483,227.350,0.297,0.554
484,228.359,0.298,0.544
485,229.119,0.299,0.549
486,227.152,0.297,0.551
487,227.948,0.298,0.545
488,227.415,0.298,0.539
489,227.936,0.299,0.541
490,227.110,0.298,0.544
491,228.074,0.299,0.536
492,226.605,0.297,0.543
493,228.574,0.300,0.535
494,227.771,0.299,0.536
495,228.122,0.300,0.530
496,227.863,0.300,0.537
497,225.161,0.296,0.534
498,225.221,0.297,0.538
499,224.328,0.296,0.535
500,225.379,0.297,0.531
501,223.844,0.295,0.532
502,223.869,0.296,0.532
503,223.819,0.296,0.529
504,223.994,0.296,0.530
505,226.365,0.300,0.526
506,224.191,0.297,0.529
507,224.927,0.298,0.527
508,223.802,0.297,0.528
509,223.148,0.296,0.528
510,222.874,0.296,0.520
511,222.680,0.296,0.522
512,222.262,0.295,0.522
513,224.385,0.298,0.527
514,222.066,0.295,0.526
515,221.489,0.295,0.518
516,222.002,0.296,0.521
517,224.972,0.300,0.521
518,222.565,0.297,0.519
519,221.656,0.296,0.518
520,220.711,0.295,0.514
521,221.099,0.295,0.519
522,221.448,0.296,0.513
523,222.954,0.298,0.511
524,221.413,0.296,0.512
525,220.849,0.296,0.509
526,220.424,0.295,0.511
527,220.218,0.295,0.508
528,219.595,0.295,0.507
529,221.273,0.297,0.502
530,221.345,0.298,0.506
531,220.285,0.296,0.514
532,221.270,0.298,0.508
533,220.078,0.296,0.509
534,220.185,0.297,0.505
535,220.212,0.297,0.498
536,221.799,0.299,0.506
537,219.254,0.296,0.506
538,219.021,0.296,0.500
539,217.668,0.294,0.499
540,218.162,0.295,0.495
541,217.163,0.294,0.498
542,218.085,0.295,0.497
543,218.658,0.296,0.497
544,218.083,0.296,0.495
545,217.573,0.295,0.498
546,217.158,0.295,0.490
547,216.634,0.294,0.491
548,217.897,0.296,0.494
549,216.926,0.295,0.492
550,215.781,0.294,0.489
551,216.920,0.295,0.491
552,216.261,0.295,0.486
553,215.548,0.294,0.487
554,216.086,0.295,0.493
555,217.546,0.297,0.487
